sha,file_name,added_lines,deleted_lines,nloc,file_complexity,methods_before,changed_methods,token_count
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,KnoxAccessVerifier.java,30,0,6,0,0,0,58
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,KnoxAccessVerifierFactory.java,66,0,41,8,0,1,309
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,pom.xml,47,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HadoopFS.java,107,0,89,19,0,5,701
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HadoopFSTester.java,42,0,33,8,0,1,304
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,BaseClient.java,94,0,75,13,0,7,417
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HadoopClassLoader.java,85,0,64,9,0,3,463
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HadoopConfigHolder.java,312,0,248,58,0,20,1451
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HadoopException.java,28,0,16,4,0,4,80
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HBaseClient.java,182,0,152,26,0,6,1084
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HBaseClientTester.java,59,0,44,9,0,1,399
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HiveClient.java,333,0,277,57,0,15,1731
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HiveClientTester.java,78,0,61,13,0,1,477
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,KnoxClient.java,302,0,223,31,0,6,1275
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,KnoxClientTest.java,34,0,12,1,0,1,60
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XaSecureConstants.java,42,0,14,0,0,0,102
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,log4j.xml,26,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,run-audit-test.sh,13,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,run-hadoop-client.sh,7,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,run-hbase-client.sh,13,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,run-hive-client.sh,13,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-audit.properties,16,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,pom.xml,201,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,create_dbversion_catalog.sql,9,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,create_dev_user.sh,19,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,create_dev_user.sql,6,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,create_repo_hbase.sql,72,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,create_repo_hdfs.sql,64,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,create_repo_hive.sql,75,0,,,0,0,
