sha,file_name,added_lines,deleted_lines,nloc,file_complexity,methods_before,changed_methods,token_count
c778297bd0e4f468967df59555c2d3dcaf4fc6cb,configure.ac,4,0,,,0,0,
c778297bd0e4f468967df59555c2d3dcaf4fc6cb,Util.h,24,5,27,8,3,3,248
c778297bd0e4f468967df59555c2d3dcaf4fc6cb,Tests.cc,73,19,73,15,1,1,618
c778297bd0e4f468967df59555c2d3dcaf4fc6cb,ThreadFactoryTests.h,34,0,155,26,9,2,943
c778297bd0e4f468967df59555c2d3dcaf4fc6cb,ThreadManagerTests.h,54,21,105,14,3,2,712
03eafbeac934f6dd52bfb7c10193b6a6d02d8630,protocol.txt,129,0,,,0,0,
6f038a7b60337c6b00ff7685db9ad4d527b68e62,Makefile.am,36,23,,,0,0,
6f038a7b60337c6b00ff7685db9ad4d527b68e62,ax_boost_base.m4,186,0,,,0,0,
6f038a7b60337c6b00ff7685db9ad4d527b68e62,bootstrap.sh,1,1,,,0,0,
6f038a7b60337c6b00ff7685db9ad4d527b68e62,configure.ac,2,0,,,0,0,
6f038a7b60337c6b00ff7685db9ad4d527b68e62,TProcessor.h,6,0,13,3,3,0,73
6f038a7b60337c6b00ff7685db9ad4d527b68e62,Monitor.cc,28,20,69,20,14,3,443
6f038a7b60337c6b00ff7685db9ad4d527b68e62,PosixThreadFactory.cc,40,12,134,32,20,13,949
6f038a7b60337c6b00ff7685db9ad4d527b68e62,PosixThreadFactory.h,6,2,33,0,0,0,158
6f038a7b60337c6b00ff7685db9ad4d527b68e62,Thread.h,14,10,31,7,7,6,186
6f038a7b60337c6b00ff7685db9ad4d527b68e62,ThreadManager.cc,43,34,285,58,26,17,1568
6f038a7b60337c6b00ff7685db9ad4d527b68e62,ThreadManager.h,14,7,37,2,2,0,225
6f038a7b60337c6b00ff7685db9ad4d527b68e62,TimerManager.cc,26,20,194,47,17,17,1228
6f038a7b60337c6b00ff7685db9ad4d527b68e62,TimerManager.h,13,9,42,0,0,0,209
6f038a7b60337c6b00ff7685db9ad4d527b68e62,Util.h,4,4,27,8,3,1,247
6f038a7b60337c6b00ff7685db9ad4d527b68e62,ThreadFactoryTests.h,22,26,153,26,10,4,968
